,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
CCPG1,-0.037226,5.39E-05,2.14E-04,-0.055262,-0.019165
WDR26,-0.037257,5.31E-05,2.11E-04,-0.055294,-0.019196
WDR81,-0.037653,4.41E-05,1.77E-04,-0.055689,-0.019593
DGKH,-0.037684,4.35E-05,1.75E-04,-0.05572,-0.019623
RBP7,-0.037697,4.32E-05,1.74E-04,-0.055733,-0.019637
KIAA0513,-0.037944,3.85E-05,1.56E-04,-0.05598,-0.019884
MT-ATP6,-0.038099,3.58E-05,1.45E-04,-0.056135,-0.020039
PPARD,-0.038116,3.55E-05,1.44E-04,-0.056152,-0.020056
EPHB2,-0.038125,3.54E-05,1.44E-04,-0.05616,-0.020065
ZSWIM4,-0.038197,3.42E-05,1.40E-04,-0.056232,-0.020137
IL7R,-0.038225,3.37E-05,1.39E-04,-0.05626,-0.020165
PNPLA6,-0.038441,3.04E-05,1.26E-04,-0.056476,-0.020381
FCN1,-0.03861,2.81E-05,1.17E-04,-0.056645,-0.020551
IL8,-0.038802,2.56E-05,1.07E-04,-0.056836,-0.020743
TMEM2,-0.03897,2.36E-05,9.94E-05,-0.057003,-0.02091
SLC44A2,-0.039179,2.13E-05,9.04E-05,-0.057212,-0.02112
LPL,-0.039451,1.87E-05,7.96E-05,-0.057484,-0.021392
IER5L,-0.039472,1.85E-05,7.89E-05,-0.057504,-0.021413
WSB2,-0.039505,1.82E-05,7.79E-05,-0.057538,-0.021446
ZFYVE16,-0.039654,1.69E-05,7.26E-05,-0.057687,-0.021596
PLD2,-0.039784,1.59E-05,6.83E-05,-0.057816,-0.021726
TNF,-0.039862,1.53E-05,6.60E-05,-0.057894,-0.021804
MRVI1,-0.039877,1.52E-05,6.56E-05,-0.057909,-0.021819
TGFBR2,-0.039911,1.49E-05,6.46E-05,-0.057944,-0.021853
PLEKHO1,-0.039959,1.46E-05,6.32E-05,-0.057991,-0.021901
HOTAIRM1,-0.040093,1.36E-05,5.95E-05,-0.058125,-0.022035
MAP3K3,-0.040126,1.34E-05,5.87E-05,-0.058158,-0.022068
CCL20,-0.040135,1.34E-05,5.86E-05,-0.058166,-0.022077
VNN1,-0.0402,1.29E-05,5.68E-05,-0.058232,-0.022142
GAS7,-0.040249,1.26E-05,5.55E-05,-0.058281,-0.022191
ZFAND5,-0.040299,1.23E-05,5.43E-05,-0.058331,-0.022242
GAB2,-0.040549,1.09E-05,4.82E-05,-0.05858,-0.022491
MDM2,-0.040582,1.07E-05,4.75E-05,-0.058613,-0.022525
B3GNT5,-0.040965,8.82E-06,3.98E-05,-0.058995,-0.022908
IRF2BPL,-0.041082,8.31E-06,3.76E-05,-0.059112,-0.023025
CX3CR1,-0.041266,7.57E-06,3.43E-05,-0.059296,-0.023209
RILP,-0.041397,7.08E-06,3.22E-05,-0.059426,-0.02334
NPC1,-0.041415,7.02E-06,3.19E-05,-0.059445,-0.023359
SLC22A18AS,-0.041512,6.68E-06,3.05E-05,-0.059542,-0.023456
ATXN1,-0.041559,6.52E-06,2.99E-05,-0.059588,-0.023503
SEC14L1,-0.041664,6.18E-06,2.84E-05,-0.059693,-0.023607
ANKDD1A,-0.041688,6.10E-06,2.81E-05,-0.059717,-0.023632
IFIT3,-0.041838,5.65E-06,2.62E-05,-0.059867,-0.023782
NR4A2,-0.04191,5.44E-06,2.53E-05,-0.059939,-0.023854
ZSWIM6,-0.042464,4.08E-06,1.91E-05,-0.060491,-0.024408
HSBP1L1,-0.042522,3.96E-06,1.85E-05,-0.06055,-0.024467
TLR1,-0.042564,3.87E-06,1.82E-05,-0.060592,-0.024509
RP11-386I14.4,-0.042858,3.32E-06,1.57E-05,-0.060885,-0.024804
PLEKHO2,-0.042916,3.22E-06,1.53E-05,-0.060943,-0.024862
NAGLU,-0.042919,3.21E-06,1.53E-05,-0.060946,-0.024865
SEPP1,-0.042941,3.18E-06,1.51E-05,-0.060968,-0.024886
CEBPB,-0.042984,3.11E-06,1.48E-05,-0.061011,-0.02493
NFKBIZ,-0.043198,2.77E-06,1.32E-05,-0.061225,-0.025144
PLEC,-0.043301,2.63E-06,1.26E-05,-0.061327,-0.025247
ZNF217,-0.043384,2.51E-06,1.21E-05,-0.06141,-0.02533
IQSEC1,-0.043507,2.35E-06,1.14E-05,-0.061532,-0.025453
TLR4,-0.043518,2.34E-06,1.14E-05,-0.061543,-0.025464
HLA-DRA,-0.043669,2.16E-06,1.05E-05,-0.061694,-0.025615
RBFOX3,-0.043669,2.16E-06,1.05E-05,-0.061695,-0.025616
ME1,-0.043694,2.13E-06,1.04E-05,-0.061719,-0.02564
VCAN,-0.043773,2.04E-06,1.00E-05,-0.061798,-0.02572
ADAMTS2,-0.043872,1.93E-06,9.55E-06,-0.061897,-0.025819
DPEP2,-0.043923,1.88E-06,9.32E-06,-0.061948,-0.02587
C9orf72,-0.044023,1.78E-06,8.89E-06,-0.062047,-0.02597
ZNF467,-0.044027,1.78E-06,8.88E-06,-0.062051,-0.025974
IL32,-0.044463,1.41E-06,7.09E-06,-0.062487,-0.02641
MCL1,-0.044509,1.37E-06,6.93E-06,-0.062533,-0.026457
TLR2,-0.044984,1.06E-06,5.38E-06,-0.063007,-0.026932
IFI27,-0.045002,1.05E-06,5.34E-06,-0.063025,-0.02695
METRNL,-0.045042,1.02E-06,5.23E-06,-0.063065,-0.02699
GGA1,-0.045108,9.86E-07,5.07E-06,-0.063131,-0.027056
PTPRJ,-0.04512,9.79E-07,5.04E-06,-0.063143,-0.027069
CECR1,-0.04527,9.02E-07,4.65E-06,-0.063292,-0.027219
CCDC151,-0.045336,8.69E-07,4.50E-06,-0.063358,-0.027284
SMPDL3A,-0.045342,8.67E-07,4.49E-06,-0.063364,-0.02729
MTRNR2L11,-0.045402,8.38E-07,4.36E-06,-0.063424,-0.027351
ENTPD1,-0.045613,7.45E-07,3.89E-06,-0.063634,-0.027562
UACA,-0.045627,7.39E-07,3.87E-06,-0.063648,-0.027576
MFSD7,-0.045711,7.05E-07,3.71E-06,-0.063733,-0.02766
SIPA1L1,-0.045764,6.85E-07,3.61E-06,-0.063786,-0.027713
SPINT1,-0.045848,6.53E-07,3.45E-06,-0.063869,-0.027797
METTL7A,-0.045861,6.49E-07,3.43E-06,-0.063882,-0.02781
ARL4A,-0.046051,5.83E-07,3.09E-06,-0.064072,-0.028
RTN1,-0.046078,5.74E-07,3.05E-06,-0.064099,-0.028028
GBP1,-0.046422,4.72E-07,2.52E-06,-0.064442,-0.028372
GADD45G,-0.046547,4.40E-07,2.36E-06,-0.064566,-0.028497
ARHGEF40,-0.046635,4.19E-07,2.27E-06,-0.064654,-0.028585
VEGFA,-0.046974,3.45E-07,1.87E-06,-0.064992,-0.028924
KCNN1,-0.046998,3.40E-07,1.85E-06,-0.065016,-0.028948
LILRA6,-0.04706,3.28E-07,1.79E-06,-0.065079,-0.029011
DPYD,-0.047181,3.06E-07,1.67E-06,-0.065199,-0.029132
TK2,-0.047287,2.88E-07,1.58E-06,-0.065305,-0.029238
BLVRB,-0.047342,2.79E-07,1.54E-06,-0.06536,-0.029293
RABGAP1L,-0.047352,2.77E-07,1.53E-06,-0.06537,-0.029303
FPR1,-0.047417,2.67E-07,1.48E-06,-0.065435,-0.029368
FAM65A,-0.047514,2.52E-07,1.40E-06,-0.065532,-0.029466
RIN3,-0.047574,2.44E-07,1.36E-06,-0.065592,-0.029526
IFIT2,-0.047695,2.27E-07,1.28E-06,-0.065712,-0.029647
SFXN3,-0.047745,2.21E-07,1.24E-06,-0.065762,-0.029697
RCN3,-0.047991,1.91E-07,1.08E-06,-0.066008,-0.029944
GIMAP7,-0.048577,1.35E-07,7.80E-07,-0.066592,-0.03053
CTSD,-0.048907,1.11E-07,6.42E-07,-0.066921,-0.03086
FGD4,-0.049125,9.77E-08,5.66E-07,-0.06714,-0.031079
ADAM17,-0.049288,8.86E-08,5.16E-07,-0.067302,-0.031242
IGF2R,-0.049432,8.13E-08,4.75E-07,-0.067446,-0.031386
C1orf56,-0.049502,7.79E-08,4.56E-07,-0.067515,-0.031456
LILRB3,-0.04985,6.31E-08,3.71E-07,-0.067863,-0.031805
SLC4A2,-0.05004,5.63E-08,3.34E-07,-0.068052,-0.031995
SIGLEC14,-0.050611,3.96E-08,2.38E-07,-0.068622,-0.032567
CREBRF,-0.050857,3.41E-08,2.06E-07,-0.068868,-0.032813
FOS,-0.051179,2.79E-08,1.70E-07,-0.069189,-0.033136
SOCS3,-0.051532,2.24E-08,1.38E-07,-0.069541,-0.033489
JDP2,-0.051676,2.04E-08,1.27E-07,-0.069685,-0.033633
CHST15,-0.051694,2.02E-08,1.25E-07,-0.069702,-0.033651
MTRNR2L2,-0.051739,1.97E-08,1.22E-07,-0.069747,-0.033696
SH3BP2,-0.051744,1.96E-08,1.22E-07,-0.069753,-0.033702
IER2,-0.051745,1.96E-08,1.22E-07,-0.069753,-0.033702
ARRDC2,-0.051899,1.78E-08,1.12E-07,-0.069907,-0.033857
INSIG1,-0.052092,1.57E-08,9.92E-08,-0.0701,-0.03405
CDC42EP2,-0.052217,1.45E-08,9.18E-08,-0.070225,-0.034175
BTG2,-0.052438,1.26E-08,8.00E-08,-0.070446,-0.034397
ATP2B1,-0.05267,1.09E-08,6.92E-08,-0.070677,-0.034629
EVI5,-0.052889,9.46E-09,6.06E-08,-0.070895,-0.034848
RP11-802E16.3,-0.053048,8.54E-09,5.48E-08,-0.071054,-0.035008
NAMPTL,-0.053071,8.41E-09,5.41E-08,-0.071077,-0.035031
FLCN,-0.053073,8.41E-09,5.41E-08,-0.071078,-0.035032
GABARAPL1,-0.05316,7.95E-09,5.14E-08,-0.071165,-0.03512
ARHGAP24,-0.053203,7.73E-09,5.01E-08,-0.071209,-0.035163
GAS2L1,-0.053305,7.24E-09,4.70E-08,-0.07131,-0.035265
GK,-0.053468,6.51E-09,4.25E-08,-0.071473,-0.035428
PLXNC1,-0.053473,6.49E-09,4.25E-08,-0.071478,-0.035433
HPSE,-0.053707,5.57E-09,3.66E-08,-0.071711,-0.035668
BACH1,-0.053711,5.56E-09,3.66E-08,-0.071715,-0.035671
ARRDC4,-0.053769,5.35E-09,3.53E-08,-0.071773,-0.03573
TIMP1,-0.053842,5.11E-09,3.37E-08,-0.071846,-0.035803
TREM1,-0.054379,3.59E-09,2.38E-08,-0.072382,-0.036341
MIR24-2,-0.054413,3.51E-09,2.34E-08,-0.072416,-0.036375
PICALM,-0.05455,3.21E-09,2.14E-08,-0.072552,-0.036512
IFI6,-0.054917,2.51E-09,1.69E-08,-0.072918,-0.036879
SLC9A9,-0.054991,2.39E-09,1.61E-08,-0.072993,-0.036954
RP11-796E2.4,-0.055506,1.69E-09,1.15E-08,-0.073507,-0.03747
FOSB,-0.056305,9.87E-10,6.77E-09,-0.074303,-0.03827
2-Mar,-0.056317,9.79E-10,6.74E-09,-0.074315,-0.038282
TRPS1,-0.056392,9.30E-10,6.42E-09,-0.07439,-0.038357
OGFRL1,-0.057146,5.54E-10,3.88E-09,-0.075142,-0.039113
PLAUR,-0.057362,4.77E-10,3.36E-09,-0.075358,-0.039329
RP11-701P16.2,-0.057553,4.18E-10,2.96E-09,-0.075548,-0.03952
GADD45B,-0.057894,3.29E-10,2.35E-09,-0.075889,-0.039862
SECTM1,-0.058149,2.75E-10,1.98E-09,-0.076142,-0.040117
AC074289.1,-0.058155,2.74E-10,1.98E-09,-0.076149,-0.040123
FAM198B,-0.058226,2.61E-10,1.89E-09,-0.07622,-0.040195
GIMAP6,-0.058588,2.02E-10,1.47E-09,-0.076581,-0.040557
LFNG,-0.058603,2.00E-10,1.46E-09,-0.076596,-0.040572
CDC42SE1,-0.058778,1.76E-10,1.29E-09,-0.07677,-0.040747
TBC1D9,-0.058781,1.76E-10,1.29E-09,-0.076774,-0.040751
HES1,-0.058949,1.56E-10,1.15E-09,-0.076941,-0.040919
GIMAP8,-0.059357,1.17E-10,8.69E-10,-0.077348,-0.041327
JMJD1C,-0.059413,1.12E-10,8.40E-10,-0.077404,-0.041383
CLEC5A,-0.059465,1.08E-10,8.14E-10,-0.077455,-0.041435
HIST1H2AC,-0.059477,1.07E-10,8.09E-10,-0.077467,-0.041447
FAM26F,-0.060029,7.18E-11,5.44E-10,-0.078019,-0.042001
APOBEC3A,-0.060038,7.14E-11,5.43E-10,-0.078027,-0.04201
OSTM1,-0.060409,5.45E-11,4.15E-10,-0.078397,-0.042381
CDKN1C,-0.060456,5.26E-11,4.03E-10,-0.078444,-0.042429
THBS1,-0.060727,4.32E-11,3.31E-10,-0.078714,-0.0427
SPI1,-0.060818,4.04E-11,3.11E-10,-0.078805,-0.042791
CHMP1B,-0.060963,3.63E-11,2.80E-10,-0.07895,-0.042936
RAP2B,-0.061058,3.38E-11,2.62E-10,-0.079045,-0.043032
RNF144B,-0.06164,2.20E-11,1.72E-10,-0.079625,-0.043615
AMICA1,-0.061711,2.09E-11,1.64E-10,-0.079696,-0.043686
HLA-DRB1,-0.061755,2.02E-11,1.59E-10,-0.07974,-0.04373
PTMS,-0.062031,1.64E-11,1.30E-10,-0.080015,-0.044007
TPST1,-0.062288,1.35E-11,1.08E-10,-0.080272,-0.044264
NFKBIA,-0.062364,1.28E-11,1.02E-10,-0.080348,-0.04434
FXYD6,-0.062384,1.26E-11,1.01E-10,-0.080367,-0.04436
AGAP3,-0.062573,1.09E-11,8.76E-11,-0.080556,-0.04455
TNFAIP2,-0.062709,9.87E-12,7.96E-11,-0.080691,-0.044686
SLC22A18,-0.062786,9.31E-12,7.53E-11,-0.080768,-0.044763
AXL,-0.063015,7.82E-12,6.35E-11,-0.080997,-0.044992
IL15,-0.063091,7.38E-12,6.01E-11,-0.081072,-0.045068
ST8SIA4,-0.063093,7.37E-12,6.01E-11,-0.081075,-0.045071
NBPF10,-0.063353,6.05E-12,4.95E-11,-0.081334,-0.045331
IFNGR2,-0.064288,2.94E-12,2.44E-11,-0.082266,-0.046268
ITPRIPL2,-0.064368,2.77E-12,2.30E-11,-0.082346,-0.046348
SKIL,-0.064434,2.63E-12,2.19E-11,-0.082412,-0.046414
CEBPD,-0.064764,2.03E-12,1.70E-11,-0.082741,-0.046745
IER3,-0.064856,1.89E-12,1.58E-11,-0.082833,-0.046837
SLC6A6,-0.065588,1.06E-12,8.97E-12,-0.083563,-0.04757
C2,-0.065765,9.26E-13,7.83E-12,-0.083739,-0.047747
PTAFR,-0.065829,8.79E-13,7.46E-12,-0.083804,-0.047812
KLF2,-0.065973,7.84E-13,6.70E-12,-0.083947,-0.047956
TCN2,-0.065981,7.80E-13,6.68E-12,-0.083955,-0.047964
CREM,-0.066247,6.31E-13,5.44E-12,-0.08422,-0.048231
ZNF331,-0.066848,3.90E-13,3.39E-12,-0.084819,-0.048833
P2RY13,-0.067208,2.91E-13,2.56E-12,-0.085179,-0.049194
MT-ND4L,-0.067225,2.87E-13,2.54E-12,-0.085196,-0.049211
SLC15A3,-0.067242,2.83E-13,2.51E-12,-0.085213,-0.049228
UPP1,-0.067351,2.60E-13,2.31E-12,-0.085321,-0.049337
DMXL2,-0.06741,2.47E-13,2.20E-12,-0.08538,-0.049396
MIR22HG,-0.067516,2.27E-13,2.03E-12,-0.085486,-0.049503
LILRB5,-0.06756,2.19E-13,1.97E-12,-0.085529,-0.049546
KCNJ2,-0.067604,2.11E-13,1.90E-12,-0.085573,-0.04959
CLEC10A,-0.067756,1.87E-13,1.69E-12,-0.085725,-0.049743
THBD,-0.068575,9.53E-14,8.67E-13,-0.086542,-0.050564
SERPINB9,-0.068675,8.77E-14,8.01E-13,-0.086642,-0.050664
MPEG1,-0.068995,6.73E-14,6.19E-13,-0.08696,-0.050984
TM6SF1,-0.069031,6.53E-14,6.03E-13,-0.086997,-0.051021
ADM,-0.06971,3.70E-14,3.43E-13,-0.087674,-0.051702
SNX24,-0.070021,2.85E-14,2.68E-13,-0.087984,-0.052013
CD36,-0.070182,2.49E-14,2.35E-13,-0.088144,-0.052174
HERPUD1,-0.070397,2.08E-14,1.97E-13,-0.088359,-0.05239
DDIT4,-0.070542,1.84E-14,1.76E-13,-0.088503,-0.052535
FGD2,-0.072735,2.78E-15,2.69E-14,-0.09069,-0.054733
PRELID1,-0.072916,2.37E-15,2.31E-14,-0.09087,-0.054914
PPP1R15A,-0.073389,1.56E-15,1.53E-14,-0.091342,-0.055389
RP11-347P5.1,-0.073699,1.19E-15,1.17E-14,-0.09165,-0.055699
PRDM1,-0.074583,5.40E-16,5.36E-15,-0.092533,-0.056586
TGIF1,-0.075833,1.75E-16,1.75E-15,-0.093778,-0.057838
MT1G,-0.075981,1.53E-16,1.54E-15,-0.093926,-0.057986
HLA-DRB5,-0.076185,1.27E-16,1.28E-15,-0.094129,-0.058191
CYP27A1,-0.076976,6.11E-17,6.23E-16,-0.094918,-0.058984
ITGAX,-0.077213,4.91E-17,5.04E-16,-0.095154,-0.059222
MT-ND2,-0.077645,3.28E-17,3.40E-16,-0.095585,-0.059655
PELI1,-0.078026,2.30E-17,2.40E-16,-0.095965,-0.060037
MAP3K8,-0.078142,2.06E-17,2.16E-16,-0.09608,-0.060153
RIN2,-0.078503,1.47E-17,1.55E-16,-0.09644,-0.060515
LINC00936,-0.078517,1.45E-17,1.53E-16,-0.096454,-0.060529
MAP3K7CL,-0.079486,5.78E-18,6.15E-17,-0.09742,-0.0615
HLA-DPB1,-0.07966,4.89E-18,5.25E-17,-0.097594,-0.061675
RCBTB2,-0.079697,4.72E-18,5.09E-17,-0.097631,-0.061712
RGS2,-0.079773,4.39E-18,4.75E-17,-0.097706,-0.061788
SPARC,-0.080887,1.50E-18,1.64E-17,-0.098816,-0.062905
SOD2,-0.080965,1.39E-18,1.52E-17,-0.098894,-0.062983
AMDHD2,-0.081195,1.11E-18,1.22E-17,-0.099123,-0.063214
GIMAP5,-0.081321,9.82E-19,1.09E-17,-0.099249,-0.06334
TMEM255B,-0.081541,7.92E-19,8.87E-18,-0.099468,-0.06356
DUSP2,-0.08197,5.20E-19,5.84E-18,-0.099896,-0.063991
BCL2A1,-0.082068,4.72E-19,5.33E-18,-0.099993,-0.064089
LUCAT1,-0.082114,4.51E-19,5.11E-18,-0.10004,-0.064135
MT-ND3,-0.082283,3.82E-19,4.35E-18,-0.100208,-0.064305
KIAA1551,-0.082346,3.59E-19,4.10E-18,-0.10027,-0.064367
SDC3,-0.082697,2.53E-19,2.91E-18,-0.10062,-0.06472
SIGLEC1,-0.082837,2.20E-19,2.55E-18,-0.10076,-0.06486
CXCL1,-0.082961,1.95E-19,2.28E-18,-0.100884,-0.064985
ELL2,-0.0837,9.30E-20,1.09E-18,-0.10162,-0.065725
TNFAIP3,-0.08372,9.11E-20,1.07E-18,-0.101641,-0.065746
LGALS1,-0.084049,6.54E-20,7.75E-19,-0.101968,-0.066075
CD300E,-0.084288,5.14E-20,6.12E-19,-0.102206,-0.066315
EXT1,-0.084921,2.70E-20,3.25E-19,-0.102837,-0.066949
ICAM1,-0.085062,2.34E-20,2.82E-19,-0.102977,-0.067091
JUN,-0.08511,2.23E-20,2.70E-19,-0.103025,-0.067139
KLF4,-0.085165,2.10E-20,2.56E-19,-0.103081,-0.067195
DSC2,-0.086202,7.25E-21,8.99E-20,-0.104113,-0.068234
SLC35F5,-0.086457,5.56E-21,6.96E-20,-0.104368,-0.068491
STAB1,-0.086632,4.64E-21,5.84E-20,-0.104542,-0.068665
GIMAP4,-0.086699,4.33E-21,5.47E-20,-0.104609,-0.068732
CCR1,-0.087365,2.16E-21,2.74E-20,-0.105273,-0.069401
CCL4,-0.087422,2.03E-21,2.59E-20,-0.10533,-0.069458
MT-ND1,-0.087926,1.20E-21,1.53E-20,-0.105831,-0.069963
CDKN1A,-0.088427,7.03E-22,9.06E-21,-0.106331,-0.070466
VMO1,-0.088431,7.00E-22,9.06E-21,-0.106335,-0.07047
AQP9,-0.088687,5.33E-22,6.94E-21,-0.10659,-0.070727
HLA-DQB1,-0.090012,1.29E-22,1.73E-21,-0.107911,-0.072056
DUSP1,-0.09031,9.32E-23,1.26E-21,-0.108208,-0.072354
LIPA,-0.090586,6.91E-23,9.41E-22,-0.108483,-0.072631
CSTB,-0.091153,3.72E-23,5.10E-22,-0.109048,-0.0732
PLA2G7,-0.091178,3.62E-23,4.99E-22,-0.109072,-0.073225
RNF149,-0.091351,2.99E-23,4.17E-22,-0.109245,-0.073399
CA2,-0.091386,2.88E-23,4.03E-22,-0.109279,-0.073433
PFKFB3,-0.091533,2.45E-23,3.45E-22,-0.109426,-0.073581
SLC43A2,-0.092844,5.75E-24,8.21E-23,-0.110732,-0.074896
GLUL,-0.093241,3.69E-24,5.30E-23,-0.111127,-0.075294
RASGEF1B,-0.093325,3.36E-24,4.85E-23,-0.111211,-0.075378
CD52,-0.095106,4.48E-25,6.54E-24,-0.112985,-0.077164
ANPEP,-0.095971,1.66E-25,2.44E-24,-0.113847,-0.078032
CRIP1,-0.096307,1.12E-25,1.66E-24,-0.114182,-0.07837
TMEM176A,-0.096441,9.63E-26,1.43E-24,-0.114316,-0.078504
NAMPT,-0.096554,8.46E-26,1.26E-24,-0.114428,-0.078617
JUNB,-0.097034,4.84E-26,7.27E-25,-0.114907,-0.079099
CCL4L2,-0.097851,1.86E-26,2.81E-25,-0.115721,-0.079919
SELM,-0.098914,5.29E-27,8.04E-26,-0.11678,-0.080985
VMP1,-0.098956,5.03E-27,7.70E-26,-0.116821,-0.081027
NUPR1,-0.099601,2.33E-27,3.59E-26,-0.117463,-0.081674
RHOB,-0.101198,3.40E-28,5.29E-27,-0.119054,-0.083276
SERPINA1,-0.10176,1.71E-28,2.68E-27,-0.119614,-0.083841
BIRC3,-0.103911,1.20E-29,1.90E-28,-0.121756,-0.085998
CLEC4E,-0.103947,1.15E-29,1.83E-28,-0.121793,-0.086035
ZFP36,-0.10546,1.71E-30,2.74E-29,-0.123299,-0.087553
ID2,-0.105857,1.03E-30,1.66E-29,-0.123695,-0.087952
FOLR2,-0.105859,1.03E-30,1.66E-29,-0.123696,-0.087953
CCL3L1,-0.107397,1.43E-31,2.36E-30,-0.125227,-0.089496
CXCL2,-0.109503,9.18E-33,1.52E-31,-0.127325,-0.09161
TNFRSF1B,-0.109828,5.98E-33,1.00E-31,-0.127649,-0.091937
EVI2A,-0.109981,4.88E-33,8.23E-32,-0.127801,-0.09209
CD83,-0.110086,4.25E-33,7.21E-32,-0.127905,-0.092195
HLA-DQA1,-0.110329,3.08E-33,5.26E-32,-0.128148,-0.09244
RP11-290F20.3,-0.112506,1.66E-34,2.89E-33,-0.130315,-0.094625
CYBB,-0.112681,1.31E-34,2.32E-33,-0.130489,-0.0948
SLC1A3,-0.113296,5.68E-35,1.01E-33,-0.131102,-0.095418
RAB13,-0.113431,4.72E-35,8.45E-34,-0.131236,-0.095553
TXNIP,-0.116715,4.99E-37,9.23E-36,-0.134505,-0.09885
C3AR1,-0.117554,1.53E-37,2.85E-36,-0.135341,-0.099692
MARCO,-0.118719,2.90E-38,5.46E-37,-0.1365,-0.100862
LHFPL2,-0.119187,1.49E-38,2.81E-37,-0.136966,-0.101331
ATF3,-0.119189,1.48E-38,2.81E-37,-0.136968,-0.101333
FGL2,-0.120049,4.28E-39,8.35E-38,-0.137824,-0.102197
NEAT1,-0.120205,3.42E-39,6.71E-38,-0.137979,-0.102353
SLC11A1,-0.121582,4.59E-40,9.37E-39,-0.13935,-0.103736
C5AR1,-0.121672,4.02E-40,8.27E-39,-0.13944,-0.103827
MAF,-0.123073,5.09E-41,1.06E-39,-0.140834,-0.105233
IGFBP6,-0.123088,4.98E-41,1.05E-39,-0.140849,-0.105248
ITGAV,-0.123933,1.41E-41,3.00E-40,-0.14169,-0.106097
LPAR6,-0.125044,2.66E-42,5.69E-41,-0.142795,-0.107212
OLR1,-0.12582,8.22E-43,1.79E-41,-0.143568,-0.107992
SDCBP,-0.12716,1.06E-43,2.33E-42,-0.1449,-0.109337
C15orf48,-0.127731,4.41E-44,9.74E-43,-0.145469,-0.109911
TSC22D3,-0.128204,2.12E-44,4.73E-43,-0.14594,-0.110386
CD14,-0.130499,5.88E-46,1.32E-44,-0.148223,-0.11269
HLA-DPA1,-0.131071,2.38E-46,5.39E-45,-0.148792,-0.113265
IL10,-0.131108,2.24E-46,5.13E-45,-0.148829,-0.113302
ADORA3,-0.131426,1.35E-46,3.12E-45,-0.149146,-0.113622
TMEM176B,-0.131651,9.46E-47,2.20E-45,-0.14937,-0.113848
SCD5,-0.132549,2.25E-47,5.29E-46,-0.150263,-0.11475
GPR34,-0.133358,6.14E-48,1.47E-46,-0.151068,-0.115563
SLC16A10,-0.135961,8.82E-50,2.17E-48,-0.153658,-0.118178
CCL3,-0.136769,2.33E-50,5.77E-49,-0.154461,-0.118989
A2M,-0.137106,1.33E-50,3.33E-49,-0.154796,-0.119328
CCL2,-0.137367,8.61E-51,2.20E-49,-0.155056,-0.11959
NPL,-0.13747,7.26E-51,1.87E-49,-0.155158,-0.119693
GPR183,-0.139379,2.95E-52,7.68E-51,-0.157057,-0.121612
DUSP6,-0.139425,2.73E-52,7.18E-51,-0.157103,-0.121658
HMOX1,-0.142013,3.30E-54,8.77E-53,-0.159677,-0.124258
OTOA,-0.142138,2.66E-54,7.14E-53,-0.159801,-0.124383
SGK1,-0.143758,1.60E-55,4.38E-54,-0.161413,-0.126012
SDC2,-0.145783,4.55E-57,1.27E-55,-0.163427,-0.128047
PLIN2,-0.151125,2.96E-61,8.56E-60,-0.168738,-0.133416
MARCKS,-0.152501,2.33E-62,6.80E-61,-0.170107,-0.134799
IFITM3,-0.153721,2.40E-63,7.16E-62,-0.171319,-0.136025
LY96,-0.157872,9.03E-67,2.83E-65,-0.175445,-0.140198
SDS,-0.161327,1.08E-69,3.54E-68,-0.17888,-0.143672
KLF6,-0.161493,7.76E-70,2.58E-68,-0.179045,-0.143839
PLD3,-0.163401,1.76E-71,5.92E-70,-0.18094,-0.145757
CXCL3,-0.166721,2.15E-74,7.35E-73,-0.18424,-0.149097
MSR1,-0.167386,5.52E-75,1.91E-73,-0.1849,-0.149765
SAT1,-0.168169,1.10E-75,3.87E-74,-0.185679,-0.150553
SLC9B2,-0.168912,2.38E-76,8.47E-75,-0.186417,-0.1513
CXCL16,-0.173963,5.79E-81,2.12E-79,-0.191435,-0.156381
PHLDA1,-0.17725,4.81E-84,1.81E-82,-0.1947,-0.159687
CLEC7A,-0.177902,1.16E-84,4.41E-83,-0.195348,-0.160344
DAB2,-0.178381,4.05E-85,1.57E-83,-0.195823,-0.160825
RGS1,-0.180901,1.54E-87,6.03E-86,-0.198327,-0.163361
ZFP36L1,-0.18276,2.38E-89,9.48E-88,-0.200173,-0.165232
CTSB,-0.186816,2.28E-93,9.39E-92,-0.2042,-0.169314
PLTP,-0.189404,5.55E-96,2.32E-94,-0.20677,-0.171919
CD163,-0.189745,2.50E-96,1.06E-94,-0.207109,-0.172262
TREM2,-0.194005,1.00E-100,4.38E-99,-0.211338,-0.17655
CTSS,-0.19441,3.77E-101,1.68E-99,-0.21174,-0.176958
PDK4,-0.194751,1.65E-101,7.50E-100,-0.212079,-0.177301
MS4A7,-0.199317,2.32E-106,1.07E-104,-0.216611,-0.181899
FN1,-0.199932,5.04E-107,2.37E-105,-0.217221,-0.182518
MAFB,-0.202872,3.18E-110,1.52E-108,-0.220138,-0.185478
C1QB,-0.20513,1.02E-112,5.04E-111,-0.22238,-0.187753
MMP19,-0.205215,8.18E-113,4.14E-111,-0.222464,-0.187838
MMP14,-0.208835,7.06E-117,3.71E-115,-0.226056,-0.191484
C1QA,-0.215446,1.66E-124,8.92E-123,-0.232614,-0.198144
LGMN,-0.218149,1.06E-127,6.05E-126,-0.235296,-0.200867
